constructorResultsId,raceId,constructorId,points,status
1,18,1,14,1
2,18,2,8,1
3,18,3,9,1
4,18,4,5,1
5,18,5,2,1
6,18,6,1,1
7,18,7,0,1
8,18,8,0,1
9,18,9,0,1
10,18,10,0,1
11,18,11,0,1
12,19,6,10,1
13,19,2,11,1
13,19,1,10,1
15,19,7,5,1
16,19,9,2,1
17,19,4,1,1
18,19,11,0,1
19,19,10,0,1
20,19,3,0,1
21,19,8,0,1
22,19,5,0,1
23,20,6,18,1
24,20,2,11,1
25,20,1,4,1
26,20,7,3,1
27,20,9,2,1
28,20,3,1,1
29,20,4,0,1
30,20,11,0,1
31,20,10,0,1
32,20,5,0,1
33,20,8,0,1
34,21,6,18,1
35,21,1,6,1
36,21,2,5,1
37,21,9,4,1
38,21,11,3,1
39,21,3,2,1
40,21,7,1,1
41,21,10,0,1
42,21,8,0,1
43,21,4,0,1
44,21,5,0,1
45,22,6,16,1
46,22,1,8,1
47,22,2,9,1
48,22,4,3,1
49,22,9,2,1
50,22,3,1,1
51,22,7,0,1
52,22,11,0,1
53,22,10,0,1
54,22,5,0,1
55,23,1,11,1
56,23,2,8,1
57,23,6,6,1
58,23,9,5,1
59,23,5,4,1
60,23,11,3,1
61,23,3,2,1
62,23,4,0,1
63,23,7,0,1
64,23,10,0,1
65,24,2,18,1
66,24,9,6,1
67,24,7,8,1
68,24,6,4,1
69,24,11,2,1
70,24,5,1,1
71,24,1,0,1
72,24,3,0,1
73,24,10,0,1
74,24,4,0,1
75,25,6,18,1
76,25,7,6,1
77,25,1,5,1
78,25,2,4,1
79,25,9,3,1
80,25,4,3,1
81,25,5,0,1
82,25,11,0,1
83,25,3,0,1
84,25,10,0,1
85,26,1,14,1
86,26,2,8,1
87,26,11,6,1
88,26,6,5,1
89,26,4,3,1
90,26,7,2,1
91,26,3,1,1
92,26,9,0,1
93,26,5,0,1
94,26,10,0,1
95,27,1,14,1
96,27,4,8,1
97,27,6,9,1
98,27,2,7,1
99,27,5,1,1
100,27,7,0,1
101,27,3,0,1
102,27,9,0,1
103,27,10,0,1
104,27,11,0,1
105,28,1,14,1
106,28,7,10,1
107,28,6,6,1
108,28,4,8,1
109,28,2,1,1
110,28,9,0,1
111,28,11,0,1
112,28,3,0,1
113,28,10,0,1
114,28,5,0,1
115,29,6,10,1
116,29,1,13,1
117,29,2,6,1
118,29,7,6,1
119,29,5,3,1
120,29,3,1,1
121,29,4,0,1
122,29,9,0,1
123,29,11,0,1
124,29,10,0,1
125,30,6,10,1
126,30,2,11,1
127,30,1,6,1
128,30,4,5,1
129,30,5,6,1
130,30,9,1,1
131,30,7,0,1
132,30,3,0,1
133,30,10,0,1
134,30,11,0,1
135,31,5,10,1
136,31,1,10,1
137,31,2,10,1
138,31,4,5,1
139,31,6,3,1
140,31,9,1,1
141,31,7,0,1
142,31,3,0,1
143,31,11,0,1
144,31,10,0,1
145,32,4,10,1
146,32,3,9,1
147,32,1,6,1
148,32,7,5,1
149,32,5,4,1
150,32,2,3,1
151,32,9,2,1
152,32,11,0,1
153,32,6,0,1
154,32,10,0,1
155,33,4,15,1
156,33,2,8,1
157,33,6,8,1
158,33,7,4,1
159,33,5,3,1
160,33,9,1,1
161,33,3,0,1
162,33,1,0,1
163,33,11,0,1
164,33,10,0,1
165,34,1,10,1
166,34,6,14,1
167,34,4,6,1
168,34,2,7,1
169,34,7,2,1
170,34,5,0,1
171,34,9,0,1
172,34,11,0,1
173,34,3,0,1
174,34,10,0,1
175,35,6,16,1
176,35,4,8,1
177,35,5,5,1
178,35,1,6,1
179,35,7,4,1
180,35,9,0,1
181,35,2,0,1
182,35,3,0,1
183,35,11,0,1
184,35,10,0,1
185,36,6,13,1
186,36,1,14,D
187,36,2,5,1
188,36,4,4,1
189,36,3,2,1
190,36,7,1,1
191,36,11,0,1
192,36,8,0,1
193,36,9,0,1
194,36,5,0,1
195,36,12,0,1
196,37,1,18,D
197,37,6,10,1
198,37,2,5,1
199,37,4,4,1
200,37,7,2,1
201,37,3,0,1
202,37,9,0,1
203,37,11,0,1
204,37,8,0,1
205,37,5,0,1
206,37,12,0,1
207,38,6,16,1
208,38,1,12,D
209,38,2,8,1
210,38,7,2,1
211,38,4,1,1
212,38,3,0,1
213,38,11,0,1
214,38,12,0,1
215,38,8,0,1
216,38,9,0,1
217,38,5,0,1
218,39,6,10,1
219,39,1,14,D
220,39,2,5,1
221,39,9,4,1
222,39,3,3,1
223,39,4,2,1
224,39,8,1,1
225,39,11,0,1
226,39,12,0,1
227,39,7,0,1
228,39,5,0,1
229,40,1,18,D
230,40,6,7,1
231,40,4,5,1
232,40,2,7,1
233,40,3,2,1
234,40,5,0,1
235,40,11,0,1
236,40,9,0,1
237,40,7,0,1
238,40,8,0,1
